,PeakNumber,startTime,endTime,peakMaxTime,File,Mass,Group,Group_by_ChromAlignNet,AlignedTime,RealAlignedTime
308,4,15.784,15.811,15.811,23,92,7,14,15.887785600536125,15.81542460405248
309,5,15.834000000000001,15.925,15.874,23,92,8,15,16.008996684978747,15.8707250973198
310,6,15.982000000000001,16.093,16.035999999999998,23,92,9,16,16.035956669420155,16.03531639732246
311,7,16.096,16.207,16.15,23,92,10,17,16.15218983247317,16.152190932644274
312,8,16.213,16.301,16.254,23,92,11,18,16.22983361429619,16.25402327528519
313,9,16.72,16.797,16.77,23,92,15,23,16.768314623435607,16.76831462343561
314,10,16.801,16.874000000000002,16.827,23,92,16,25,16.86693692571636,16.82503476397018
315,11,17.009,17.125999999999998,17.076,23,92,18,27,17.084047987750232,17.077882848962304
316,12,17.129,17.253,17.176,23,92,19,28,17.17887714813634,17.178833528047246
317,13,17.381,17.465,17.421,23,92,20,31,17.421538031378084,17.42194889563897
318,0,14.546,14.683,14.616,24,92,0,0,14.617083014540764,14.61697520364879
319,1,14.850999999999999,14.988,14.915,24,92,2,3,14.914732747717288,14.914879540385458
320,2,14.992,15.082,15.065999999999999,24,92,3,5,15.060365429256013,15.070493807790394
321,3,15.085999999999999,15.099,15.089,24,92,3,6,15.098255557757403,15.070493807790394
322,4,15.103,15.123,15.106,24,92,3,7,15.106,15.070493807790394
323,5,15.123,15.21,15.152999999999999,24,92,4,8,15.136924726796751,15.151234637803341
324,6,15.562000000000001,15.67,15.612,24,92,6,12,15.614688706698338,15.615016400515374
